Column1,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5
size_of_class,"3,293","8,888","2,827",129,"2,001","2,828"
total_users_rated,"625,270","2,549,616","1,553,960","2,576,020","3,322,099","4,129,849"
avg_num_users_rated,189.88,286.86,549.69,19969.15,1660.22,1460.34
avg_rating,6.76,5.92,5.95,7.67,6.6,6.88
avg_rank,851.29,1579.75,1577.96,357.83,1066.65,961.19
avg_weight,2.762018555,1.526489728,1.417747577,3.107602326,2.428907796,2.347535149
rank_of_top_game(min 1000 users rated),28,155,148,5,17,1
num_of_card_games,67,2747,1736,22,276,838
percent_of_card_games,2%,31%,61%,17%,14%,30%
num_of_dice_games,"1,366","1,301",128,24,231,"1,404"
percent_of_dice_games,41%,15%,5%,19%,12%,50%
num_of_economic_games,55,189,20,76,1040,43
percent_of_economic_games,2%,2%,1%,59%,52%,2%
num_of_fantasy_games,102,595,262,14,79,1309
percent_of_fantasy_games,3%,7%,9%,11%,4%,46%
num_of_party_games,0,516,1182,1,5,19
percent_of_party_games,0%,6%,42%,1%,0%,1%
num_of_strategy_games,41,1315,30,1,122,32
percent_of_strategy_games,1%,15%,1%,1%,6%,1%
num_of_word_games,0,275,183,1,2,1
percent_of_word_games,0%,3%,6%,1%,0%,0%
num_of_worker_placement_games,20,139,15,22,290,118
percent_of_worker_placement_games,1%,2%,1%,17%,14%,4%
num_of_war_games,3085,328,12,11,146,407
percent_of_war_games,94%,4%,0%,9%,7%,14%
num_of_adventure_games,25,161,43,3,14,771
percent_of_adventure_games,1%,2%,2%,2%,1%,27%
